PPS,CAGR,1 Year Return,5 Year Return
SPY,447.57,0.13398938147356754,0.06709105214219294,0.8751885369532427
SCHD,79.46,0.12168549591162825,0.060314918601547855,0.7756424581005585
VOO,411.53,0.13430028627125878,0.06735657225853296,0.8777605402445701
SCHD,79.46,0.12168549591162825,0.060314918601547855,0.7756424581005585
