PPS,CAGR,1 Year Return,5 Year Return
MU,72.14,0.20967912902846764,-0.1705185696217086,1.5903052064631955
BAC,39.67,0.11020959552808707,-0.029361389772449127,0.6866496598639457
HOOD,11.24,-0.20756221627121063,-0.68751737559077,-0.68751737559077
